,bTOP,bJUG,bMID,bADC,bSUP,rTOP,rJUG,rMID,rADC,rSUP,win
0,Kennen,Talon,Syndra,Aphelios,Thresh,Ornn,Hecarim,Orianna,Yasuo,Rakan,True
0,Graves,Hecarim,Orianna,Samira,Yuumi,Riven,Ekko,Qiyana,Lucian,Nami,False
0,Viego,XinZhao,Orianna,Jhin,Yuumi,Jayce,Hecarim,Kassadin,Lucian,Nami,True
0,Ornn,Graves,Galio,Lucian,Nami,Aatrox,LeeSin,Orianna,Aphelios,Thresh,True
0,Fiora,LeeSin,Orianna,Jinx,Thresh,Gnar,XinZhao,Leblanc,Jhin,Zyra,False
0,Gwen,Graves,Syndra,Samira,Nautilus,Draven,Zed,Orianna,Ezreal,Braum,True
0,Jax,XinZhao,Viktor,MissFortune,Leona,Camille,Nidalee,TwistedFate,Lucian,Rakan,False
0,Gwen,Taliyah,Zed,Jinx,Thresh,Yone,Kayn,Orianna,Aphelios,Lulu,True
0,Tryndamere,LeeSin,Orianna,Jhin,Zyra,Kennen,Graves,Zed,Caitlyn,Lux,True
0,Garen,LeeSin,Zoe,MissFortune,Leona,Jayce,Kindred,Orianna,Jhin,Rakan,False
0,Kennen,LeeSin,Orianna,Jhin,Nautilus,Irelia,XinZhao,AurelionSol,Lucian,Nami,False
0,Graves,Talon,Katarina,Jinx,Rakan,Sett,LeeSin,Orianna,Ezreal,Pyke,False
0,Yone,Graves,Syndra,MissFortune,Rakan,Jayce,Gwen,Orianna,Ezreal,Senna,True
0,Quinn,LeeSin,Orianna,Ezreal,Karma,Jayce,Viego,Syndra,Jinx,Thresh,True
0,Sion,Karthus,Irelia,Aphelios,Thresh,Graves,XinZhao,Viktor,Samira,Nautilus,True
0,Camille,Qiyana,Vex,Jhin,Rakan,Gwen,Diana,Graves,Yasuo,Karma,False
0,Sion,Graves,Gwen,Yasuo,0,Yone,XinZhao,Tryndamere,Ziggs,Rakan,False
0,Yone,Poppy,Orianna,Jhin,Rakan,Camille,Talon,Zoe,Ziggs,Galio,False
0,Sion,Poppy,TwistedFate,Xayah,Xerath,Lillia,Talon,Vex,Jhin,Lux,True
0,Camille,Talon,Leblanc,Samira,Blitzcrank,Viktor,LeeSin,Tryndamere,Kaisa,Thresh,False
0,Yone,Zed,Sylas,Aphelios,Thresh,Graves,Gragas,Qiyana,Caitlyn,Blitzcrank,True
0,Jayce,Talon,Syndra,Jhin,Rakan,Tryndamere,Viego,Akali,Jinx,Lulu,False
0,Yone,Talon,Zoe,Kalista,Pyke,Jayce,Viego,Viktor,Xayah,Lux,True
0,Jayce,Talon,Vex,Lucian,Lux,Sion,Zac,Viktor,Jhin,Alistar,False
0,Gragas,Talon,Orianna,Jinx,Rakan,Riven,Zed,Lulu,Kalista,Thresh,False
0,Ryze,LeeSin,Vex,Kaisa,Rakan,Sion,Graves,Viktor,Aphelios,Thresh,True
0,Jax,Viego,Viktor,Ezreal,Rakan,Tryndamere,LeeSin,Ryze,Jhin,Yuumi,True
0,Sion,Ekko,Akshan,Caitlyn,Morgana,Jayce,XinZhao,Zoe,Jinx,Thresh,True
0,Viktor,Hecarim,Ryze,Ezreal,Lux,Sion,Nocturne,Sylas,Caitlyn,Alistar,False
0,MonkeyKing,Graves,Ryze,Jhin,Nautilus,Jayce,Ekko,Akshan,Ezreal,Karma,True
0,Graves,Olaf,Zoe,Jhin,Trundle,Jayce,XinZhao,Syndra,Caitlyn,JarvanIV,True
0,Jayce,Kindred,Galio,Jhin,Karma,Poppy,Graves,Vladimir,Caitlyn,Thresh,False
0,Gwen,Graves,TwistedFate,Jhin,Nautilus,Jax,Talon,Galio,Jinx,Braum,True
0,Jayce,JarvanIV,Leblanc,Caitlyn,DrMundo,Graves,Nidalee,Viktor,Jhin,Karma,False
0,Tryndamere,Talon,Leblanc,Jhin,Rakan,Graves,Hecarim,Lissandra,Seraphine,Pyke,True
0,Viktor,LeeSin,Katarina,Jinx,Karma,Irelia,Graves,Ryze,Caitlyn,Lux,True
0,Gwen,XinZhao,Yone,Jhin,Pyke,Kennen,Olaf,Sylas,Ezreal,Galio,True
0,Gwen,XinZhao,Galio,Xayah,Rakan,Camille,Zed,Leblanc,Jinx,Lulu,True
0,Graves,XinZhao,Lissandra,Jhin,Karma,Jayce,Viego,Leblanc,Xayah,Blitzcrank,False
0,Graves,JarvanIV,Rumble,Ezreal,Rakan,Jax,RekSai,Ryze,Aphelios,Nami,True
0,Renekton,Hecarim,Galio,Jinx,Thresh,Yone,LeeSin,Viktor,Ziggs,Leona,False
0,Irelia,JarvanIV,Leblanc,Caitlyn,Lux,Jayce,LeeSin,Lissandra,Jhin,Karma,False
0,Tryndamere,Lillia,TahmKench,Caitlyn,Pyke,Viktor,Talon,Irelia,Tristana,Karma,True
0,Jayce,LeeSin,Tryndamere,Heimerdinger,Leona,Viktor,Zed,Yone,Syndra,Rakan,True
0,Camille,LeeSin,Leblanc,Jinx,Lulu,Yone,RekSai,Vex,Caitlyn,Lux,True
0,Kennen,Talon,Katarina,Lucian,Nami,Viktor,Taric,Graves,Caitlyn,Leona,False
0,Viktor,XinZhao,Viego,Aphelios,Thresh,Jayce,Graves,Zoe,Samira,Rell,True
0,Camille,LeeSin,Vex,Caitlyn,Rakan,Viktor,Poppy,Akali,Jinx,Sett,False
0,Garen,Warwick,Draven,Samira,Poppy,Viktor,Kindred,Ryze,Jinx,Pyke,False
0,Tryndamere,Olaf,Ryze,Caitlyn,Lux,Gnar,Zac,Sylas,Yasuo,Thresh,True
0,Riven,Rumble,Sett,Jinx,Lulu,Kennen,Zed,Graves,Jhin,Neeko,True
0,Vayne,Nocturne,Vex,Jhin,Rakan,Jayce,Karthus,Zoe,Jinx,Thresh,False
0,Jayce,Talon,Ryze,Yasuo,Alistar,Kennen,Hecarim,Galio,Kindred,Pyke,True
0,Graves,Talon,Sylas,Jinx,Lulu,Jayce,Nidalee,TwistedFate,Xayah,Pyke,True
0,Jayce,Talon,Vex,Xayah,Leona,Graves,XinZhao,Sylas,Lucian,Nami,False
0,Irelia,Qiyana,Vex,Jinx,Blitzcrank,Jayce,Talon,Galio,Caitlyn,Lux,False
0,Jax,XinZhao,Leblanc,Caitlyn,Lux,Gwen,Nidalee,Renekton,Jinx,Nautilus,True
0,Renekton,Graves,Vex,Aphelios,Karma,TahmKench,Qiyana,Veigar,Jinx,Lulu,False
0,Shen,RekSai,Vex,Syndra,Pyke,Renekton,JarvanIV,Viktor,Ziggs,Karma,False
0,Graves,LeeSin,Zoe,Jinx,Lulu,Jayce,XinZhao,Leblanc,Jhin,Galio,True
0,Kennen,LeeSin,Vex,Jinx,Lulu,Rumble,JarvanIV,TwistedFate,Aphelios,Thresh,False
0,Gragas,Rumble,Irelia,Kalista,Thresh,Camille,Viego,Vex,Ezreal,Yuumi,True
0,Jayce,XinZhao,Vex,Aphelios,Thresh,Graves,LeeSin,Vladimir,Caitlyn,Lulu,True
0,Qiyana,Viego,Katarina,Jinx,Thresh,Graves,Karthus,Renekton,MissFortune,Trundle,True
0,Irelia,Khazix,Orianna,Lucian,Alistar,Gangplank,Graves,Syndra,Samira,Rell,False
0,Jayce,XinZhao,Ryze,Aphelios,Nautilus,Irelia,Trundle,Orianna,Lucian,Karma,False
0,Gangplank,RekSai,Galio,Lucian,Nami,Renekton,Olaf,TwistedFate,Jinx,Lulu,False
0,Camille,XinZhao,Zoe,Jhin,Rakan,Renekton,Zed,Sylas,Aphelios,Karma,True
0,Gangplank,Graves,Orianna,Caitlyn,Lux,Renekton,XinZhao,Zoe,Samira,Rell,True
0,Jayce,Nidalee,Akshan,Aphelios,Thresh,Irelia,XinZhao,Ryze,Lucian,Rakan,True
0,Camille,JarvanIV,Karthus,Aphelios,Thresh,Kennen,LeeSin,Galio,Jhin,Karma,False
0,Renekton,Viego,Leblanc,Jhin,Yuumi,Yone,Karthus,Vex,Jinx,Thresh,True
0,Riven,Ekko,Vex,Jhin,Rakan,Graves,Talon,Sylas,Caitlyn,Lux,True
0,Renekton,Graves,Leblanc,Jinx,Rakan,Aatrox,Ekko,Irelia,Aphelios,Thresh,True
0,Camille,Graves,TwistedFate,Aphelios,Thresh,Yone,Kindred,Galio,Syndra,Bard,False
0,Yone,Graves,TwistedFate,Samira,Rell,Renekton,Kindred,Ryze,Kalista,Rakan,True
0,Kennen,Qiyana,Zoe,MissFortune,Trundle,Sett,Taliyah,TwistedFate,Jinx,Thresh,False
0,MonkeyKing,Graves,Vex,Ziggs,Gragas,Jayce,XinZhao,Ryze,Caitlyn,Lux,False
0,Jax,Nunu,Ahri,Jhin,Blitzcrank,Fiora,Nidalee,Orianna,Jinx,Thresh,False
0,Camille,Talon,Vex,Aphelios,Lulu,Jax,Rengar,Sylas,Jinx,Thresh,True
0,Tryndamere,Lillia,Sett,Samira,Rell,Jax,Graves,Galio,Vayne,Rakan,True
0,Camille,LeeSin,Orianna,Ezreal,Zilean,Kennen,Graves,Zoe,Kindred,Rakan,False
0,Riven,LeeSin,Vex,Caitlyn,Lux,Malphite,Diana,Yasuo,Lucian,Nami,True
0,Kennen,Poppy,Galio,Aphelios,Thresh,Graves,LeeSin,Zoe,Jinx,Lulu,True
0,Riven,Graves,Galio,Jhin,Yuumi,Fiora,Viego,Vex,Aphelios,Amumu,True
0,Kennen,Graves,Syndra,Ezreal,Yuumi,DrMundo,Kindred,Zoe,Aphelios,Braum,True
0,Kennen,LeeSin,Yasuo,Samira,Gragas,TahmKench,Graves,Lissandra,Caitlyn,Lux,False
0,Renekton,Graves,Galio,Aphelios,Alistar,Camille,Talon,Ahri,Samira,Rell,False
0,Camille,Olaf,Leblanc,Jhin,Maokai,Renekton,XinZhao,Malzahar,MissFortune,Karma,False
0,TahmKench,LeeSin,Zoe,Jhin,Nautilus,Tryndamere,Graves,Gragas,MissFortune,Leona,True
0,Jax,Lillia,Yone,Jhin,Rakan,Camille,LeeSin,Galio,MissFortune,Zilean,False
0,Akshan,Taliyah,Qiyana,Aphelios,Thresh,Shen,JarvanIV,Renekton,Kaisa,Galio,True
0,Renekton,Ekko,Sylas,Jhin,Leona,Gnar,Nidalee,Yone,Samira,Rakan,False
0,Jax,LeeSin,Gwen,Jhin,Rakan,Kennen,Graves,Zoe,Samira,Maokai,False
0,Shen,Graves,Zoe,MissFortune,Nautilus,Mordekaiser,Talon,Syndra,Jhin,Karma,True
0,Graves,Olaf,Syndra,Ziggs,Galio,Renekton,Viego,Leblanc,Aphelios,Leona,True
0,Kennen,Kindred,Viego,Samira,Alistar,Irelia,Vi,Galio,Kaisa,Leona,True
0,Tristana,Karthus,Pantheon,Aphelios,Blitzcrank,TahmKench,Graves,Vex,Jhin,Amumu,True
0,Viego,Karthus,Malzahar,Aphelios,Thresh,TahmKench,Graves,Cassiopeia,Caitlyn,Maokai,False
0,Vladimir,Talon,Vex,Aphelios,Thresh,Malphite,Khazix,Ahri,Samira,Pyke,True
0,Sett,Talon,Vex,Xayah,Maokai,Camille,Taliyah,Syndra,Samira,Nautilus,False
0,Kennen,LeeSin,Leblanc,Xayah,Rakan,Renekton,Shaco,Lissandra,Jhin,Yuumi,False
0,TahmKench,Shaco,Vex,Aphelios,Thresh,Camille,Talon,Akali,Samira,Nautilus,True
0,Graves,Taliyah,Yone,Jinx,Thresh,Renekton,Lillia,Malzahar,Samira,Rell,False
0,Mordekaiser,Viego,Ahri,Aphelios,Amumu,Poppy,Gragas,Yasuo,Samira,Pyke,False
0,Singed,Talon,Viego,Jhin,Leona,Teemo,Shaco,Sylas,Jinx,Galio,True
0,Poppy,Graves,Lissandra,Lucian,Nami,Darius,Nidalee,Akshan,Aphelios,Thresh,True
0,Singed,Taliyah,Yone,MissFortune,Leona,Renekton,Nidalee,Viego,Jinx,Braum,True
0,Warwick,Viego,Taliyah,Ezreal,Gragas,Camille,Hecarim,Leblanc,MissFortune,Leona,False
0,Shen,Graves,Leblanc,Samira,Amumu,Camille,LeeSin,Lissandra,Jhin,Karma,False
0,Shen,LeeSin,Ahri,Lucian,Nami,Riven,XinZhao,Syndra,Jhin,Lux,True
0,Renekton,Zac,Ryze,Aphelios,Thresh,Akshan,Shaco,Malphite,Samira,Rell,False
0,Renekton,Zac,Leblanc,Xayah,Nami,Camille,Hecarim,Ryze,Jinx,Thresh,False
0,Ornn,XinZhao,Karma,Aphelios,Lulu,Camille,Nidalee,AurelionSol,Jhin,Nami,False
0,Renekton,LeeSin,Ryze,Jhin,Karma,Vi,Graves,Akali,Ziggs,Bard,False
0,Camille,Shaco,Irelia,Jhin,Xerath,Jax,Ekko,Katarina,MissFortune,Bard,False
0,Renekton,Viego,Vex,Lucian,Nami,Tryndamere,RekSai,Galio,Jhin,Bard,False
0,Vayne,Graves,Yone,Ziggs,Bard,Draven,Poppy,Zoe,Lucian,Nami,False
0,Kennen,Viego,Garen,Ezreal,Bard,Malphite,LeeSin,Vex,Jhin,Taliyah,True
0,Akshan,Viego,Syndra,Ezreal,Bard,Renekton,Shaco,Taliyah,Aphelios,Thresh,True
0,Gnar,Zac,Vex,Jhin,Neeko,Renekton,Nidalee,Viktor,Caitlyn,Bard,False
0,Renekton,LeeSin,TwistedFate,Ziggs,Bard,Volibear,Hecarim,Ryze,Kaisa,Rakan,False
0,Gwen,Qiyana,TwistedFate,Ashe,Thresh,Shen,XinZhao,Sylas,Jhin,Bard,False
0,Renekton,Nidalee,Vex,Ezreal,Bard,Gnar,Talon,Katarina,Xerath,Alistar,True
0,Renekton,Qiyana,Sylas,Jinx,Bard,Gangplank,Talon,TwistedFate,Jhin,Rakan,True
0,Gragas,LeeSin,Qiyana,Jinx,Bard,Gwen,Taliyah,Pantheon,Kaisa,Nautilus,True
0,Sylas,LeeSin,Ryze,Jhin,Karma,Kennen,XinZhao,Katarina,Xayah,Bard,True
0,Camille,Viego,Vex,Xayah,Gragas,Tryndamere,XinZhao,TwistedFate,Jhin,Bard,False
0,Fiora,XinZhao,Vex,Caitlyn,Lux,Shyvana,Shaco,Syndra,Tristana,Bard,True
0,Tryndamere,Zed,Orianna,Jhin,Rakan,Gwen,Gragas,Yasuo,Ezreal,Bard,True
0,Renekton,Rumble,Kindred,Xayah,Bard,Gnar,Volibear,Syndra,Jhin,Maokai,False
0,Graves,RekSai,Ryze,Kaisa,Bard,Irelia,Kindred,Vex,Jhin,Rakan,False
0,Jax,Ekko,Akshan,Jhin,Bard,Graves,Viego,Leblanc,Ezreal,Pyke,True
0,Tryndamere,Graves,Leblanc,Jinx,Lulu,Gnar,Talon,Lissandra,Caitlyn,Bard,True
0,Graves,XinZhao,Lux,Caitlyn,Bard,Gwen,Kindred,Zoe,Jhin,Maokai,True
0,Azir,Trundle,Xayah,Caitlyn,Bard,Jayce,LeeSin,Vex,Jhin,Zilean,True
0,Renekton,Kayn,Ryze,Jhin,Bard,Gwen,Graves,Orianna,Xayah,Senna,True
0,MonkeyKing,LeeSin,Galio,Xayah,Bard,Jayce,Kindred,Zilean,Jhin,Pyke,True
0,Irelia,Ekko,Yone,Cassiopeia,Bard,Renekton,Graves,Vex,Lucian,Rakan,False
0,Pantheon,LeeSin,Katarina,Jhin,Bard,Aatrox,Graves,Syndra,Kaisa,Leona,False
0,Graves,XinZhao,Zoe,Kaisa,Bard,Renekton,Ekko,Akshan,Jhin,Karma,True
0,Tryndamere,Rengar,Vex,Jhin,Bard,Graves,Nidalee,Akshan,Caitlyn,Karma,True
0,Jax,JarvanIV,Leblanc,Lucian,Pyke,Renekton,Ekko,Akshan,Xayah,Bard,True
0,Lulu,XinZhao,Lissandra,Jhin,Bard,Poppy,Graves,Leblanc,Tristana,Amumu,True
0,Tryndamere,Talon,Leblanc,Aphelios,Bard,Riven,Ekko,Akshan,Jinx,Thresh,False
0,Gwen,Talon,Zoe,Senna,Sett,Jayce,Graves,TwistedFate,Jhin,Bard,False
0,Camille,Rengar,Galio,Xayah,Karma,Poppy,LeeSin,Katarina,Jhin,Bard,False
0,Kennen,LeeSin,Leblanc,Lucian,Nami,Akali,Vi,Zilean,Jhin,Bard,False
0,Kennen,LeeSin,Irelia,Kalista,Rakan,Gnar,Khazix,Leblanc,Jhin,Bard,False
0,Jayce,XinZhao,Ahri,Jhin,Bard,Graves,Nidalee,AurelionSol,Aphelios,Thresh,True
0,Lulu,Kindred,AurelionSol,Vayne,Pyke,Gragas,Viego,Galio,Ezreal,Bard,False
0,Ornn,Nidalee,Yasuo,Jhin,Lux,Rengar,Elise,Katarina,Caitlyn,Bard,True
0,Renekton,LeeSin,Zoe,Ezreal,Bard,Camille,Talon,TwistedFate,Jhin,Rakan,True
0,Camille,Olaf,Galio,Aphelios,Yuumi,Gwen,LeeSin,Leblanc,Xayah,Bard,True
0,Irelia,Graves,Galio,Draven,Pyke,Jayce,Trundle,Katarina,Lucian,Bard,False
0,Ornn,Graves,Vex,Jhin,Bard,Renekton,Talon,AurelionSol,Aphelios,Thresh,True
0,Graves,Zed,AurelionSol,Xayah,Rakan,Renekton,Diana,Yasuo,Jhin,Bard,False
0,Gwen,RekSai,Azir,Lucian,Bard,Sett,LeeSin,Ahri,Draven,Leona,True
0,Trundle,Qiyana,Gwen,Caitlyn,Bard,Shyvana,Ekko,Yasuo,Ezreal,Yuumi,False
0,Garen,Rumble,Nocturne,Jhin,Bard,Tryndamere,XinZhao,Vex,Lucian,Pyke,True
0,Camille,Talon,Sylas,Xayah,Bard,Sett,LeeSin,Vex,Kaisa,Rakan,True
0,Aatrox,Ekko,Sett,Jinx,Janna,Jayce,Talon,Katarina,MissFortune,Bard,True
0,Urgot,Graves,Zilean,Jinx,Rakan,Kennen,Hecarim,Irelia,Jhin,Bard,True
0,Gwen,Olaf,Zilean,Jhin,Bard,Camille,Qiyana,Malphite,Aphelios,Thresh,True
0,Tryndamere,Sejuani,Qiyana,Samira,Gragas,MonkeyKing,XinZhao,Viktor,Jax,Pyke,True
0,Yone,Taliyah,TwistedFate,Tristana,Rell,Jax,Ekko,Tryndamere,Jhin,Trundle,False
0,LeeSin,Viego,Leblanc,Ezreal,Karma,Yone,Diana,Yasuo,Jinx,Thresh,False
0,Jax,Talon,TwistedFate,Caitlyn,Lux,Yone,LeeSin,Zoe,Ashe,Karma,True
0,Jax,Kindred,Syndra,Jhin,Rakan,Akshan,Nidalee,Irelia,Ezreal,Lulu,True
0,Irelia,Talon,Ryze,Caitlyn,Lux,Jayce,Poppy,Viktor,Lucian,Karma,True
0,Irelia,Talon,Karma,Aphelios,Thresh,LeeSin,Zed,Akali,Jhin,Blitzcrank,True
0,Yone,Qiyana,Graves,Viktor,Blitzcrank,Camille,Nidalee,Ryze,Jhin,Karma,False
0,Graves,Talon,Akali,Jinx,Thresh,Lucian,Diana,Tryndamere,Jhin,Blitzcrank,False
0,Sett,JarvanIV,Azir,Lucian,Nami,Irelia,LeeSin,Viktor,Ezreal,Karma,False
0,Ryze,Graves,Syndra,Lucian,Nami,Kennen,LeeSin,Corki,Ezreal,Pyke,False
0,Kennen,LeeSin,Vex,Aphelios,Thresh,Jayce,Vi,Leblanc,Jinx,Lulu,False
0,Sylas,LeeSin,Malphite,Kindred,Bard,Aatrox,Nidalee,Jayce,Jhin,Yuumi,True
0,Akali,Talon,Sion,Ezreal,Karma,Viktor,LeeSin,Renekton,Kindred,Rakan,True
0,Akali,XinZhao,TwistedFate,Caitlyn,Lux,Trundle,Poppy,Viktor,Jinx,Thresh,True
0,Viktor,Poppy,Katarina,Aphelios,Braum,Camille,Graves,Akali,Jinx,Thresh,True
0,Jayce,Nidalee,Ryze,Ashe,Leona,Ornn,LeeSin,Galio,Jinx,Thresh,False
0,Graves,LeeSin,Leblanc,Jinx,Thresh,Viktor,Viego,Yasuo,Taliyah,Alistar,True
0,Camille,Nidalee,Yone,Xayah,Thresh,Gragas,LeeSin,Nocturne,Aphelios,Lulu,False
0,Irelia,JarvanIV,Vex,Jinx,Thresh,Tryndamere,LeeSin,Viktor,Aphelios,Lulu,False
0,Camille,LeeSin,Xerath,Jhin,Trundle,Jax,RekSai,Vex,Aphelios,Maokai,False
0,Yone,Talon,MissFortune,Ziggs,Rakan,Gwen,Viego,Zoe,Tristana,Pyke,True
0,Camille,Skarner,Sylas,Lucian,Yuumi,Kennen,Hecarim,Nunu,Caitlyn,Nami,True
0,Jayce,Graves,Galio,Jhin,Alistar,Irelia,Nocturne,Vex,Caitlyn,Rell,False
0,Akshan,Ekko,Yasuo,KogMaw,Lulu,Teemo,LeeSin,Yone,Caitlyn,Lux,True
0,Camille,Kindred,Galio,Jhin,Leona,Jax,Ekko,Aatrox,Lucian,Nami,False
0,Jayce,Qiyana,Leblanc,Ezreal,Leona,Rumble,Nidalee,Draven,Jhin,Alistar,False
0,Shyvana,Graves,Chogath,Jinx,Thresh,Viktor,LeeSin,Katarina,Xayah,Rakan,True
0,Vayne,Talon,Yasuo,Ezreal,Karma,Yone,Diana,Graves,Jhin,Rakan,True
0,Graves,Rengar,Vex,Jinx,Thresh,Rumble,Zed,Jayce,Jhin,Nautilus,False
0,Yone,Viego,Syndra,Ezreal,Karma,Irelia,Nocturne,Ryze,Lucian,Nami,True
0,Camille,LeeSin,Ryze,Kaisa,Alistar,Gnar,Nidalee,Irelia,Lucian,Leona,True
0,Graves,Zed,Leblanc,Aphelios,Rakan,Yasuo,LeeSin,Galio,Jhin,DrMundo,True
0,Riven,Talon,Sylas,Xerath,Galio,Akali,Poppy,Yone,Jhin,Lux,True
0,Irelia,XinZhao,Vex,Ziggs,Leona,Jayce,Viego,Yasuo,Xayah,Rakan,False
0,Gragas,Viego,Ryze,Vayne,Lulu,Tryndamere,Nunu,Graves,Ziggs,Rakan,False
0,Lucian,JarvanIV,Sylas,Jinx,Thresh,Jayce,Viego,Zoe,Ziggs,Leona,False
0,Viktor,LeeSin,Katarina,Jinx,Karma,Irelia,Graves,Ryze,Caitlyn,Lux,True
0,Sett,Graves,Leblanc,Xayah,Rakan,Yone,Nidalee,Tryndamere,Ezreal,Zac,True
0,Jax,Viego,Zoe,Jinx,Nautilus,LeeSin,Ekko,Yone,Xayah,Lulu,True
0,Irelia,Olaf,Vex,Ezreal,Karma,Akali,XinZhao,Yone,Kalista,Nautilus,True
0,Kennen,Viego,Galio,Jhin,Gragas,Jayce,Vi,Viktor,Ziggs,Rakan,True
0,Jax,Graves,Viktor,Samira,Nautilus,Akali,LeeSin,Ryze,Lucian,Nami,True
0,Akshan,Talon,Ryze,Lucian,Nami,Irelia,Graves,Sylas,Tristana,Lulu,True
0,Irelia,LeeSin,Syndra,Jhin,Rakan,Jayce,Talon,Galio,Draven,Thresh,True
0,Yone,LeeSin,Sylas,Jhin,Karma,Akali,Graves,Camille,Jinx,Yuumi,True
0,Jayce,Viego,Orianna,Jinx,Thresh,Tryndamere,LeeSin,Sylas,Ziggs,Seraphine,False
0,Camille,Viego,Sylas,Aphelios,Bard,Kennen,Graves,TwistedFate,Jhin,Leona,False
0,Yone,Talon,Leblanc,Ziggs,Trundle,Akshan,Ekko,Poppy,Caitlyn,Lux,False
0,Gnar,LeeSin,Leblanc,Jhin,Nautilus,Renekton,Zed,Lissandra,Caitlyn,Lux,True
0,Kennen,Poppy,Irelia,Jhin,Lulu,Jayce,LeeSin,Syndra,Draven,Leona,False
0,Akali,Hecarim,Zoe,Jhin,Rakan,Camille,LeeSin,Katarina,Caitlyn,Lux,False
0,Akshan,Nidalee,Sylas,Lucian,Nami,Jayce,Graves,Zoe,Jinx,Lulu,False
0,Akali,Gwen,Riven,Aphelios,Lulu,Vayne,Hecarim,Zoe,Ziggs,Rakan,False
0,Gragas,Talon,Ryze,Jinx,Thresh,Jayce,Poppy,Sylas,Caitlyn,Lux,True
0,Irelia,Talon,Zoe,Jinx,Lulu,Viktor,Viego,Vex,Caitlyn,Thresh,True
0,Jayce,Talon,Zoe,Caitlyn,Lux,Gragas,LeeSin,Syndra,Jhin,Thresh,True
0,Camille,Ekko,Galio,Draven,Nautilus,Sylas,Talon,Syndra,Xayah,Sett,False
0,Jayce,Talon,Lux,Jhin,Trundle,Camille,LeeSin,Leblanc,Caitlyn,Galio,False
0,Jayce,Graves,Galio,Jinx,Karma,Lucian,LeeSin,Leblanc,Caitlyn,Lux,False
0,Camille,Graves,Corki,Aphelios,Thresh,Gwen,LeeSin,Galio,Jinx,Lulu,False
0,Jax,Nocturne,Akali,Jhin,Galio,Camille,Zed,Syndra,Xayah,Rakan,False
0,Viktor,Talon,Galio,MissFortune,Rakan,Kennen,Zed,Leblanc,Jhin,Yuumi,True
0,Kennen,Zed,Akali,Samira,Rakan,Rumble,Talon,Galio,Caitlyn,Lux,False
0,Renekton,Talon,Syndra,Xayah,Leona,Yasuo,Poppy,Akali,Jinx,Braum,True
0,Akshan,Talon,Syndra,MissFortune,Nautilus,Kennen,LeeSin,Yasuo,Aphelios,Thresh,False
0,Camille,LeeSin,Syndra,Caitlyn,Lux,Jax,Viego,TwistedFate,Twitch,Blitzcrank,True
0,Jayce,LeeSin,Ryze,Jinx,Lulu,Irelia,Nidalee,Yone,Jhin,Neeko,False
0,JarvanIV,Qiyana,Leblanc,Jinx,Thresh,Kennen,XinZhao,Syndra,Aphelios,Lulu,False
0,Camille,Viego,Zoe,Ashe,Karma,Renekton,LeeSin,Syndra,Caitlyn,Lux,False
0,Jayce,LeeSin,Vex,Ezreal,Rakan,Jax,Talon,Zoe,Aphelios,Lulu,True
0,Jayce,Taliyah,Syndra,MissFortune,Galio,MonkeyKing,Talon,Zoe,Aphelios,Rakan,True
0,TahmKench,Diana,Yasuo,Lucian,Nami,Riven,Poppy,Sylas,Draven,Thresh,True
0,Aatrox,Viego,Malphite,Jinx,Pyke,Vladimir,Poppy,Leblanc,Vayne,Rakan,False
0,Camille,Kindred,Galio,Jhin,Rakan,Jax,Talon,Sylas,Syndra,Pyke,True
0,Ornn,Diana,Yasuo,Lucian,Nami,Jayce,Poppy,Sett,Cassiopeia,Rakan,False
0,Jayce,Poppy,Ryze,Syndra,Alistar,Vladimir,Graves,Lucian,Aphelios,Thresh,True
0,Gangplank,Nidalee,Yone,Xayah,Nami,Kennen,Poppy,LeeSin,Lucian,Yuumi,False
0,Kennen,Viego,Akali,Draven,Thresh,Gangplank,Poppy,Akshan,Aphelios,Nautilus,False
0,Graves,Poppy,Cassiopeia,Jinx,Lulu,Camille,Viego,TwistedFate,Aphelios,Thresh,False
0,Gragas,LeeSin,Ryze,Ziggs,Leona,Aatrox,Lillia,Yone,Kaisa,Nautilus,False
0,Gragas,LeeSin,Sylas,Ezreal,Taliyah,Jayce,Viego,Zoe,Jinx,Thresh,False
0,Jayce,Taliyah,Irelia,Jhin,Leona,Qiyana,Talon,Syndra,Ziggs,Rell,True
0,Irelia,Evelynn,Syndra,Caitlyn,Zac,Jayce,Viego,Katarina,Draven,Rakan,False
0,Camille,Taliyah,Galio,Jinx,Thresh,Graves,Amumu,Syndra,Samira,Rell,True
0,Fiora,XinZhao,Syndra,Lucian,Rakan,Kennen,LeeSin,Lissandra,Caitlyn,Maokai,True
0,Riven,Graves,Galio,Jhin,Yuumi,Fiora,Viego,Vex,Aphelios,Amumu,True
0,Renekton,LeeSin,Sylas,Xayah,Rakan,Gnar,Viego,Ryze,Lucian,Nami,False
0,Kindred,Nidalee,Talon,Aphelios,Rakan,Kennen,LeeSin,Syndra,Lucian,Leona,True
0,Kennen,Graves,Syndra,Jhin,Karma,Tryndamere,LeeSin,Irelia,Caitlyn,Rakan,False
0,Camille,Qiyana,Kassadin,Draven,Pyke,Akshan,Poppy,Syndra,Ziggs,Rell,False
0,Aatrox,LeeSin,Ryze,Jhin,Leona,Camille,Talon,Leblanc,Xayah,Nautilus,False
0,Aatrox,LeeSin,Zoe,Jhin,Leona,Gragas,Graves,Yone,Kaisa,Rakan,True
